date,nav,change_pct
2022-11-11,0.938,-0.9
2022-11-14,0.9308,-0.77
2022-11-15,0.9514,2.21
2022-11-16,0.944,-0.78
2022-11-17,0.9601,1.71
2022-11-18,0.9499,-1.06
2022-11-21,0.959,0.96
2022-11-22,0.9378,-2.21
2022-11-23,0.9363,-0.16
2022-11-24,0.9355,-0.09
2022-11-25,0.9167,-2.01
2022-11-28,0.9118,-0.53
2022-11-29,0.9172,0.59
2022-11-30,0.9138,-0.37
2022-12-01,0.9304,1.82
2022-12-02,0.9317,0.14
2022-12-05,0.9343,0.28
2022-12-06,0.9294,-0.52
2022-12-07,0.9243,-0.55
2022-12-08,0.9163,-0.87
2022-12-09,0.9084,-0.86
2022-12-12,0.9152,0.75
2022-12-13,0.9046,-1.16
2022-12-14,0.9074,0.31
2022-12-15,0.9121,0.52
2022-12-16,0.8975,-1.6
2022-12-19,0.8845,-1.45
2022-12-20,0.872,-1.41
2022-12-21,0.8661,-0.68
2022-12-22,0.8555,-1.22
2022-12-23,0.861,0.64
2022-12-26,0.875,1.63
2022-12-27,0.8814,0.73
2022-12-28,0.8752,-0.7
2022-12-29,0.8775,0.26
2022-12-30,0.8807,0.36
2022-12-31,0.8807,0.0
2023-01-03,0.9062,2.9
2023-01-04,0.9121,0.65
2023-01-05,0.9167,0.5
2023-01-06,0.9112,-0.6
2023-01-09,0.909,-0.24
2023-01-10,0.9069,-0.23
2023-01-11,0.9007,-0.68
2023-01-12,0.8988,-0.21
2023-01-13,0.8983,-0.06
2023-01-16,0.9077,1.05
2023-01-17,0.9077,0.0
2023-01-18,0.9162,0.94
2023-01-19,0.9371,2.28
2023-01-20,0.9403,0.34
2023-01-30,0.9494,0.97
2023-01-31,0.9395,-1.04
2023-02-01,0.959,2.08
2023-02-02,0.9592,0.02
2023-02-03,0.9695,1.07
2023-02-06,0.9727,0.33
2023-02-07,0.9634,-0.96
2023-02-08,0.954,-0.98
2023-02-09,0.9709,1.77
2023-02-10,0.9617,-0.95
2023-02-13,0.9708,0.95
2023-02-14,0.9663,-0.46
2023-02-15,0.9761,1.01
2023-02-16,0.9569,-1.97
2023-02-17,0.9379,-1.99
2023-02-20,0.9482,1.1
2023-02-21,0.9499,0.18
2023-02-22,0.958,0.85
2023-02-23,0.9487,-0.97
2023-02-24,0.9485,-0.02
2023-02-27,0.9399,-0.91
2023-02-28,0.9481,0.87
2023-03-01,0.9566,0.9
2023-03-02,0.9527,-0.41
2023-03-03,0.9505,-0.23
2023-03-06,0.9571,0.69
2023-03-07,0.9325,-2.57
2023-03-08,0.9439,1.22
2023-03-09,0.9465,0.28
2023-03-10,0.9358,-1.13
2023-03-13,0.9543,1.98
2023-03-14,0.9508,-0.37
2023-03-15,0.9482,-0.27
2023-03-16,0.9364,-1.24
2023-03-17,0.9409,0.48
2023-03-20,0.9353,-0.6
2023-03-21,0.9467,1.22
2023-03-22,0.9545,0.82
2023-03-23,0.9637,0.96
2023-03-24,0.9633,-0.04
2023-03-27,0.9767,1.39
2023-03-28,0.9627,-1.43
2023-03-29,0.9623,-0.04
2023-03-30,0.9633,0.1
2023-03-31,0.9769,1.41
2023-04-03,0.9875,1.09
2023-04-04,0.9886,0.11
2023-04-06,1.005,1.66
2023-04-07,1.0171,1.2
2023-04-10,1.0075,-0.94
2023-04-11,1.0117,0.42
2023-04-12,1.0144,0.27
2023-04-13,1.0057,-0.86
2023-04-14,1.0197,1.39
2023-04-17,1.0153,-0.43
2023-04-18,1.012,-0.33
2023-04-19,1.0077,-0.42
2023-04-20,1.0135,0.58
2023-04-21,0.9962,-1.71
2023-04-24,0.9867,-0.95
2023-04-25,0.9685,-1.84
2023-04-26,0.9665,-0.21
2023-04-27,0.9744,0.82
2023-04-28,0.9823,0.81
2023-05-04,0.975,-0.74
2023-05-05,0.9601,-1.53
2023-05-08,0.9658,0.59
2023-05-09,0.946,-2.05
2023-05-10,0.944,-0.21
2023-05-11,0.9479,0.41
2023-05-12,0.9373,-1.12
2023-05-15,0.9519,1.56
2023-05-16,0.9519,0.0
2023-05-17,0.9613,0.99
2023-05-18,0.9634,0.22
2023-05-19,0.9723,0.92
2023-05-22,0.9698,-0.26
2023-05-23,0.961,-0.91
2023-05-24,0.9571,-0.41
2023-05-25,0.9551,-0.21
2023-05-26,0.9594,0.45
2023-05-29,0.9638,0.46
2023-05-30,0.9657,0.2
2023-05-31,0.9661,0.04
2023-06-01,0.9695,0.35
2023-06-02,0.9747,0.54
2023-06-05,0.9751,0.04
2023-06-06,0.9531,-2.26
2023-06-07,0.9578,0.49
2023-06-08,0.9504,-0.77
2023-06-09,0.9618,1.2
2023-06-12,0.9589,-0.3
2023-06-13,0.971,1.26
2023-06-14,0.9749,0.4
2023-06-15,0.9735,-0.14
2023-06-16,0.9857,1.25
2023-06-19,1.0005,1.5
2023-06-20,1.0003,-0.02
2023-06-21,0.9734,-2.69
2023-06-26,0.949,-2.51
2023-06-27,0.9573,0.87
2023-06-28,0.949,-0.87
2023-06-29,0.9574,0.89
2023-06-30,0.9668,0.98
2023-07-03,0.9625,-0.44
2023-07-04,0.9655,0.31
2023-07-05,0.9575,-0.83
2023-07-06,0.9555,-0.21
2023-07-07,0.9418,-1.43
2023-07-10,0.942,0.02
2023-07-11,0.9508,0.93
2023-07-12,0.9366,-1.49
2023-07-13,0.9424,0.62
2023-07-14,0.9431,0.07
2023-07-17,0.9398,-0.35
2023-07-18,0.9313,-0.9
2023-07-19,0.9238,-0.81
2023-07-20,0.9045,-2.09
2023-07-21,0.8968,-0.85
2023-07-24,0.8962,-0.07
2023-07-25,0.9041,0.88
2023-07-26,0.8955,-0.95
2023-07-27,0.8872,-0.93
2023-07-28,0.8951,0.89
2023-07-31,0.8962,0.12
2023-08-01,0.8918,-0.49
2023-08-02,0.889,-0.31
2023-08-03,0.8924,0.38
2023-08-04,0.9001,0.86
2023-08-07,0.8971,-0.33
2023-08-08,0.8897,-0.82
2023-08-09,0.8801,-1.08
2023-08-10,0.8809,0.09
2023-08-11,0.8634,-1.99
2023-08-14,0.8678,0.51
2023-08-15,0.8582,-1.11
